Title,Autor,Date,Place,Country,Category,File_Name,MEAN,R_mean,G_mean,B_mean,STD,R_std,G_std,B_std,ASYMMETRY,R_asy,G_asy,B_asy
 The Little Maure Mountains,Henri-Edmond Cross,1909,Memphis, Estados Unidos,BLUE,img1200.jpg,145.2068885735964,139.72917963845705,149.11365840214762,146.77782768018454,51.78723913420527,57.03557817021606,46.59037037610045,50.73754652216686,0.930718719959259,0.15916253626346588,0.7390180230140686,0.930718719959259
" Winternight, southwest sky",Oluf Høst,1950,Gudhjem, Dinamarca,BLUE,img1201.jpg,115.79815724021543,76.25364145801224,124.71903357184416,146.4217966907899,56.30693613978669,62.409564598424645,38.130326686342784,39.766563210893175,0.6540149450302124,2.7984399795532227,0.7622084021568298,0.6540149450302124
" Boat Moored on the Seine at Argenteuil (Bateau au mouillage sur la Seine, à Argenteuil)",Gustave Caillebotte,1884,Kansas City, Missouri,BLUE,img1202.jpg,120.308982092975,99.10561504149271,123.03844073125171,138.78289050618056,50.4537191934167,49.80278945287056,46.30706649349495,47.05053757383715,0.7097031474113464,0.9910512566566468,0.6378734111785889,0.7097031474113464
 The Mermaid, Howard Pyle,1910,Wilmington, DE,BLUE,img1203.jpg,119.22352308723507,85.32559278955587,123.36704467739796,148.9779317947514,40.88699862753739,38.8052912459176,27.36028116557156,26.63158029476895,1.5292034149169922,0.99872887134552,1.360267996788025,1.5292034149169922
 A Foregone Conclusion,Sir Lawrence Alma-Tadema,1885,London, Reino Unido,BLUE,img1204.jpg,98.92093757549156,92.17225857158896,93.45641988792372,111.134134266962,50.15294357843965,35.507018300662715,43.982299768665364,64.23546070452143,0.8562994599342346,1.1487886905670166,0.8612825274467468,0.8562994599342346
 Jubal and family,Kristian Zahrtmann,1878,Gudhjem, Dinamarca,BLUE,img1205.jpg,117.4928327668276,115.35095795608817,118.62864783758127,118.49889250681338,47.06477419900112,56.904666820820474,44.352808524988966,37.85599452379654,0.6890042424201965,1.0620697736740112,0.6906471848487854,0.6890042424201965
 Ailsa Craig,William Bell Scott,1860,New Haven, CT,BLUE,img1206.jpg,130.3753091964465,126.68105216956384,136.19751145770599,128.24736396206964,55.81414824791499,42.73245203437854,43.83878642931936,74.4693363498196,1.382941722869873,0.7086625695228577,0.6710383892059326,1.382941722869873
 The Finding of Moses,Giovanni Francesco Romanelliabout,1656,Inidianapolis, Estados Unidos,BLUE,img1207.jpg,81.57621968854093,80.45663424144372,80.5211240290296,83.75090079514949,58.57367274163329,56.14392459535134,50.5276086129459,67.67828291173475,2.7530596256256104,1.6098264455795288,2.521921396255493,2.7530596256256104
 The Lock of Saint-Mammès (L'ecluse de Saint-Mammès),Alfred Sisley,1885,Kansas City, Missouri,BLUE,img1208.jpg,118.51932413994905,104.03244904000245,117.98589349692249,133.53962988292216,38.42521171407458,32.6005597385049,35.875871308087724,40.544449255247,1.6877727508544922,1.1184759140014648,1.266572117805481,1.6877727508544922
 Nympheas,Claude Monet,1917,Takasaki, Gunma,BLUE,img1209.jpg,95.11369923138952,80.61749124723126,94.403239800345,110.32036664659228,31.752780249194288,29.81495870820357,28.387468187697863,29.800159653627748,0.8353080749511719,1.1935980319976809,1.0982892513275146,0.8353080749511719
 La sibilla cumana,Tullio Garbari,1930,Rovereto, Italia,BLUE,img1210.jpg,163.9348909689119,159.24861946125816,163.8383978605477,168.7176555849299,62.21253863574478,61.776389830527,59.599857377920685,64.79112023738085,1.9568746089935305,0.3430995643138885,0.4588616788387298,1.9568746089935305
 Zealand Landscape. Open Country in North Zealand,Johan Thomas Lundbye,1842,Copenhagen, Dinamarca,BLUE,img1211.jpg,156.94308403678716,153.66604742316446,158.7538098786351,158.4093948085619,63.83170573497922,54.55258693060782,59.45954616092428,75.47098671877524,4.868980407714844,1.5258942842483518,2.3037023544311523,4.868980407714844
 Natura morta di terraglie posate e frutta,Umberto Boccioni,1916,Milan, Italia,BLUE,img1212.jpg,79.1603500427006,65.51696965366595,83.55610448203005,88.40797599240575,38.756218336170136,40.761964276891135,34.19810304584047,37.20352569692498,0.2761459648609161,2.0368337631225586,0.836520791053772,0.2761459648609161
 The Grove - Monhegan,George Bellows,1911,Houston, Estados Unidos,BLUE,img1213.jpg,98.13531831497718,83.45151017158489,103.1369923138952,107.81745245945145,65.91009859286612,56.480624977572454,62.31704784228106,74.99715430571128,3.1618986129760738,3.0045948028564453,2.225379943847656,3.1618986129760738
 Powerful Red,Wassily Kandinsky,1928,Essen, Alemania,BLUE,img1214.jpg,41.76578985869679,37.11520991333993,34.71255192969205,53.469607733058425,45.543592493492575,64.0315655503086,30.77023130647116,31.10389876229671,4.205218315124512,6.823689937591553,6.572132110595702,4.205218315124512
